episode,reward,rolling_reward_50,epsilon,mean_loss,acceptance_rate,action_0,action_1,action_2,action_3,action_4
152,163.67670790360873,147.28537286948713,0.05000000000000002,0.11180667765438557,0.25,0,12,0,0,0
153,236.1920218474072,147.06943331121516,0.05000000000000002,0.07482373838623364,0.75,0,11,0,0,1
154,165.75030838503832,145.6195702181094,0.05000000000000002,0.079801297125717,0.8333333333333334,0,0,0,0,12
155,257.63483082243835,146.74963851069114,0.05000000000000002,0.09079115930944681,0.4166666666666667,0,12,0,0,0
156,221.215430058126,148.93912284343577,0.05000000000000002,0.18612103660901388,0.5,0,11,0,1,0
157,180.59612269613726,148.67970658450287,0.05000000000000002,0.40283146624763805,0.5,0,4,0,0,8
158,300.23335222104595,152.30112700821968,0.05000000000000002,0.1818544746687015,0.5833333333333334,0,0,11,0,1
159,87.25465207165226,146.35050941734048,0.05000000000000002,0.12894416910906634,0.16666666666666666,0,0,3,9,0
160,152.94236481000826,145.559125098931,0.05000000000000002,0.12231231853365898,0.5833333333333334,0,0,1,11,0
161,320.40603703076636,148.71228157153303,0.05000000000000002,0.1310898344963789,0.75,0,0,0,8,4
162,155.33329124761502,147.96230800769797,0.05000000000000002,0.11896340952565272,0.5833333333333334,0,0,0,9,3
163,260.0754980593779,150.62070181159967,0.05000000000000002,0.14771594231327376,0.5833333333333334,2,0,0,0,10
164,192.95277733988283,152.18467061900964,0.05000000000000002,0.1128927922497193,0.6666666666666666,0,0,2,10,0
165,313.82740017762336,154.26165702376943,0.05000000000000002,0.09794375921289127,0.8333333333333334,0,0,0,11,1
166,214.69406978290016,156.71474696041972,0.05000000000000002,0.1426012528439363,0.75,1,0,0,3,8
167,137.1866239916811,157.0731447230838,0.05000000000000001,0.12514811505874,0.3333333333333333,0,0,0,4,8
168,207.42330687817218,158.182203738099,0.05000000000000001,0.0959481621781985,0.5833333333333334,0,0,0,12,0
169,250.9305999297296,161.8508157366936,0.05000000000000001,0.08890831066916387,0.6666666666666666,0,0,0,12,0
170,128.724598312096,159.68131557331805,0.05000000000000001,0.0990148310859998,0.4166666666666667,0,2,0,0,10
171,264.84994814939853,163.2785971147867,0.05000000000000001,0.10768903853992622,0.5,0,4,6,1,1
172,147.71270651539396,164.7726934909919,0.05000000000000001,0.12062845348070066,0.4166666666666667,0,0,11,1,0
173,243.303181211994,168.96625312447824,0.05000000000000001,0.09804418031126261,0.5833333333333334,3,0,8,1,0
174,295.0465946430447,172.73828222897086,0.05000000000000001,0.10534515293935935,0.75,4,0,0,8,0
